date,country,D,H,I,M,S
2021-04-01,Armenia,0.0,2.0,0.0,0.0,0.0
2021-04-01,Australia,0.0,26.0,0.0,0.0,0.0
2021-04-02,Armenia,0.0,2.0,0.0,0.0,0.0
2021-04-02,Australia,0.0,20.0,6.0,0.0,0.0
2021-04-03,Armenia,0.0,0.0,2.0,0.0,0.0
2021-04-03,Australia,0.0,12.0,14.0,0.0,0.0
2021-04-04,Armenia,0.0,0.0,2.0,0.0,0.0
2021-04-04,Australia,0.0,8.0,18.0,0.0,0.0
2021-04-05,Armenia,0.0,0.0,2.0,0.0,0.0
2021-04-05,Australia,0.0,6.0,20.0,0.0,0.0
2021-04-06,Armenia,0.0,0.0,2.0,0.0,0.0
2021-04-06,Australia,0.0,5.0,15.0,2.0,4.0
2021-04-07,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-07,Australia,0.0,3.0,9.0,6.0,8.0
2021-04-08,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-08,Australia,0.0,2.0,6.0,7.0,11.0
2021-04-09,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-09,Australia,0.0,1.0,5.0,9.0,11.0
2021-04-10,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-10,Australia,0.0,1.0,4.0,10.0,11.0
2021-04-11,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-11,Australia,0.0,1.0,2.0,10.0,13.0
2021-04-12,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-12,Australia,0.0,1.0,1.0,11.0,13.0
2021-04-13,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-13,Australia,0.0,1.0,0.0,12.0,13.0
2021-04-14,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-14,Australia,0.0,1.0,0.0,12.0,13.0
2021-04-15,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-15,Australia,0.0,1.0,0.0,12.0,13.0
2021-04-16,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-16,Australia,0.0,1.0,0.0,12.0,13.0
2021-04-17,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-17,Australia,0.0,0.0,1.0,12.0,13.0
2021-04-18,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-18,Australia,0.0,0.0,1.0,12.0,13.0
2021-04-19,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-19,Australia,0.0,0.0,1.0,12.0,13.0
2021-04-20,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-20,Australia,2.0,0.0,1.0,14.0,9.0
2021-04-21,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-21,Australia,2.0,0.0,0.0,18.0,6.0
